step,actic loss,critic loss,average distance,time
3240,-2.1952,0.8745,4.7166,0min5sec
3250,-2.1886,0.8723,4.7148,0min5sec
3260,-2.1821,0.8700,4.7130,0min5sec
3270,-2.1755,0.8677,4.7112,0min5sec
3280,-2.1690,0.8655,4.7095,0min5sec
3290,-2.1626,0.8633,4.7077,0min5sec
3300,-2.1563,0.8611,4.7059,0min5sec
3310,-2.1499,0.8590,4.7041,0min5sec
3320,-2.1436,0.8568,4.7025,0min5sec
3330,-2.1373,0.8546,4.7008,0min5sec
3340,-2.1311,0.8525,4.6991,0min5sec
3350,-2.1248,0.8503,4.6973,0min5sec
3360,-2.1186,0.8482,4.6956,0min5sec
3370,-2.1125,0.8461,4.6941,0min5sec
3380,-2.1064,0.8439,4.6925,0min5sec
3390,-2.1005,0.8418,4.6908,0min5sec
3400,-2.0944,0.8397,4.6891,0min5sec
3410,-2.0885,0.8377,4.6874,0min5sec
3420,-2.0825,0.8356,4.6859,0min5sec
3430,-2.0766,0.8336,4.6843,0min5sec
3440,-2.0706,0.8316,4.6826,0min5sec
3450,-2.0649,0.8296,4.6810,0min5sec
3460,-2.0591,0.8275,4.6793,0min5sec
3470,-2.0533,0.8255,4.6777,0min5sec
3480,-2.0476,0.8236,4.6763,0min5sec
3490,-2.0420,0.8216,4.6747,0min5sec
3500,-2.0364,0.8196,4.6731,0min5sec
3510,-2.0309,0.8177,4.6716,0min5sec
3520,-2.0252,0.8157,4.6701,0min5sec
3530,-2.0194,0.8138,4.6685,0min5sec
3540,-2.0140,0.8119,4.6670,0min5sec
3550,-2.0085,0.8100,4.6654,0min5sec
3560,-2.0030,0.8081,4.6639,0min5sec
3570,-2.9976,0.8062,4.6623,0min5sec
3580,-2.9921,0.8043,4.6608,0min5sec
3590,-2.9868,0.8025,4.6593,0min5sec
3600,-2.9814,0.8006,4.6578,0min5sec
3610,-2.9761,0.7988,4.6564,0min5sec
3620,-2.9708,0.7969,4.6549,0min5sec
3630,-2.9655,0.7950,4.6534,0min5sec
3640,-2.9603,0.7932,4.6519,0min5sec
